,dt,Цена на арматуру
113,2017-03-06,30500
114,2017-03-13,30700
115,2017-03-20,30600
116,2017-03-27,30400
117,2017-04-03,29800
118,2017-04-10,29500
119,2017-04-17,28200
120,2017-04-24,27500
121,2017-05-01,26500
122,2017-05-08,26300
123,2017-05-15,26300
124,2017-05-22,26200
125,2017-05-29,26150
126,2017-06-05,26150
127,2017-06-12,26150
128,2017-06-19,26350
129,2017-06-26,26550
130,2017-07-03,26650
131,2017-07-10,28000
132,2017-07-17,28800
133,2017-07-24,29400
134,2017-07-31,29400
135,2017-08-07,30900
136,2017-08-14,33900
137,2017-08-21,35900
138,2017-08-28,36800
139,2017-09-04,38600
140,2017-09-11,39600
141,2017-09-18,38800
142,2017-09-25,38800
143,2017-10-02,37500
144,2017-10-09,37000
145,2017-10-16,35800
146,2017-10-23,33800
147,2017-10-30,31500
148,2017-11-06,30000
149,2017-11-13,32500
150,2017-11-20,32500
151,2017-11-27,32000
152,2017-12-04,31500
153,2017-12-11,31700
154,2017-12-18,31800
155,2017-12-25,34600
156,2018-01-01,35600
157,2018-01-08,35600
158,2018-01-15,35600
159,2018-01-22,35300
160,2018-01-29,34500
161,2018-02-05,33700
162,2018-02-12,34000
163,2018-02-19,33900
164,2018-02-26,32700
165,2018-03-05,32900
166,2018-03-12,33300
167,2018-03-19,33600
168,2018-03-26,34800
169,2018-04-02,36100
170,2018-04-09,36100
171,2018-04-16,35900
172,2018-04-23,35900
173,2018-04-30,36400
174,2018-05-07,37900
175,2018-05-14,37700
176,2018-05-21,37900
177,2018-05-28,37900
178,2018-06-04,37600
179,2018-06-11,37400
180,2018-06-18,37400
181,2018-06-25,37100
182,2018-07-02,37100
183,2018-07-09,37200
184,2018-07-16,37800
185,2018-07-23,37500
186,2018-07-30,37500
187,2018-08-06,39400
188,2018-08-13,39650
189,2018-08-20,40750
190,2018-08-27,43100
191,2018-09-03,48700
192,2018-09-10,48850
193,2018-09-17,48350
194,2018-09-24,44600
195,2018-10-01,42600
196,2018-10-08,41500
197,2018-10-15,40800
198,2018-10-22,39700
199,2018-10-29,39500
200,2018-11-05,38800
201,2018-11-12,38300
202,2018-11-19,38000
203,2018-11-26,37600
204,2018-12-03,37600
205,2018-12-10,37300
206,2018-12-17,37000
207,2018-12-24,36700
208,2018-12-31,36000
209,2019-01-07,36000
210,2019-01-14,35700
211,2019-01-21,35300
212,2019-01-28,34000
213,2019-02-04,33800
214,2019-02-11,34550
215,2019-02-18,36000
216,2019-02-25,37700
217,2019-03-04,40200
218,2019-03-11,40200
219,2019-03-18,39900
220,2019-03-25,39400
221,2019-04-01,39300
222,2019-04-08,39500
223,2019-04-15,39500
224,2019-04-22,39300
225,2019-04-29,39300
226,2019-05-06,39300
227,2019-05-13,40300
228,2019-05-20,40000
229,2019-05-27,40200
230,2019-06-03,40200
231,2019-06-10,40300
232,2019-06-17,41500
233,2019-06-24,40500
234,2019-07-01,40500
235,2019-07-08,40300
236,2019-07-15,39800
237,2019-07-22,39800
238,2019-07-29,40200
239,2019-08-05,40300
240,2019-08-12,39200
241,2019-08-19,38700
242,2019-08-26,38200
243,2019-09-02,37700
244,2019-09-09,36900
245,2019-09-16,36200
246,2019-09-23,35000
247,2019-09-30,34200
248,2019-10-07,33500
249,2019-10-14,33300
250,2019-10-21,33500
251,2019-10-28,33300
252,2019-11-04,33800
253,2019-11-11,33500
254,2019-11-18,32300
255,2019-11-25,32200
256,2019-12-02,31800
257,2019-12-09,31100
258,2019-12-16,30600
259,2019-12-23,31400
260,2019-12-30,32900
261,2020-01-06,32900
262,2020-01-13,33400
263,2020-01-20,32500
264,2020-01-27,32890
265,2020-02-03,33400
266,2020-02-10,32800
267,2020-02-17,32000
268,2020-02-24,31500
269,2020-03-02,32500
270,2020-03-09,33500
271,2020-03-16,34000
272,2020-03-23,35000
273,2020-03-30,35000
274,2020-04-06,34500
275,2020-04-13,34000
276,2020-04-20,33500
277,2020-04-27,33500
278,2020-05-04,33500
279,2020-05-11,33500
280,2020-05-18,33500
281,2020-05-25,33500
282,2020-06-01,33000
283,2020-06-08,33000
284,2020-06-15,33000
285,2020-06-22,33700
286,2020-06-29,34500
287,2020-07-06,34500
288,2020-07-13,35000
289,2020-07-20,35000
290,2020-07-27,35100
291,2020-08-03,35100
292,2020-08-10,35200
293,2020-08-17,35500
294,2020-08-24,36500
295,2020-08-31,37200
296,2020-09-07,37500
297,2020-09-14,37500
298,2020-09-21,38000
299,2020-09-28,38500
300,2020-10-05,39500
301,2020-10-12,40000
302,2020-10-19,39500
303,2020-10-26,39500
304,2020-11-02,39500
305,2020-11-09,39500
306,2020-11-16,39500
307,2020-11-23,39500
308,2020-11-30,41500
309,2020-12-07,42500
310,2020-12-14,51000
311,2020-12-21,58000
312,2020-12-28,61000
313,2021-01-04,61000
314,2021-01-11,61000
315,2021-01-18,62000
316,2021-01-25,62000
317,2021-02-01,59000
318,2021-02-08,55000
319,2021-02-15,51500
320,2021-02-22,48500
321,2021-03-01,48000
322,2021-03-08,49000
323,2021-03-15,50500
324,2021-03-22,50800
325,2021-03-29,51500
326,2021-04-05,53500
327,2021-04-12,54500
328,2021-04-19,58500
329,2021-04-26,60500
330,2021-05-03,62500
331,2021-05-10,63500
332,2021-05-17,67000
333,2021-05-24,71900
334,2021-05-31,71900
335,2021-06-07,72500
336,2021-06-14,74000
337,2021-06-21,74000
338,2021-06-28,74000
339,2021-07-05,74000
340,2021-07-12,73500
341,2021-07-19,72500
342,2021-07-26,71500
343,2021-08-02,69500
344,2021-08-09,66000
345,2021-08-16,65000
346,2021-08-23,63500
347,2021-08-30,62000
348,2021-09-06,59000
349,2021-09-13,56500
350,2021-09-20,55000
351,2021-09-27,54000
352,2021-10-04,56800
353,2021-10-11,59000
354,2021-10-18,64000
355,2021-10-25,73000
356,2021-11-01,77000
357,2021-11-08,79000
358,2021-11-15,78000
359,2021-11-22,72500
360,2021-11-29,64000
361,2021-12-06,61500
362,2021-12-13,60500
363,2021-12-20,61500
364,2021-12-27,62500
365,2022-01-03,63500
366,2022-01-10,63500
367,2022-01-17,63700
368,2022-01-24,62500
369,2022-01-31,62900
370,2022-02-07,65000
371,2022-02-14,65500
372,2022-02-21,69000
373,2022-02-28,78000
374,2022-03-07,77000
375,2022-03-14,74000
376,2022-03-21,67000
377,2022-03-28,69500
378,2022-04-04,69500
379,2022-04-11,67500
380,2022-04-18,64000
381,2022-04-25,61500
382,2022-05-02,58000
383,2022-05-09,56000
384,2022-05-16,54000
385,2022-05-23,50000
386,2022-05-30,46000
387,2022-06-06,43500
388,2022-06-13,42000
389,2022-06-20,43000
390,2022-06-27,44000
391,2022-07-04,45000
392,2022-07-11,45500
393,2022-07-18,47000
394,2022-07-25,47500
395,2022-08-01,47500
396,2022-08-08,49000
397,2022-08-15,47500
398,2022-08-22,46500
399,2022-08-29,46000
0,2022-09-05,46000
1,2022-09-12,46000
2,2022-09-19,46000
3,2022-09-26,45500
4,2022-10-03,45500
5,2022-10-10,45000
6,2022-10-17,44000
7,2022-10-24,43000
8,2022-10-31,42000
9,2022-11-07,41500
10,2022-11-14,41000
11,2022-11-21,40000
12,2022-11-28,40000
13,2022-12-05,40500
14,2022-12-12,41700
15,2022-12-19,41700
16,2022-12-26,42500
17,2023-01-02,42700
18,2023-01-09,42700
19,2023-01-16,42700
20,2023-01-23,42800
21,2023-01-30,42800
22,2023-02-06,44500
23,2023-02-13,44500
24,2023-02-20,46000
25,2023-02-27,49200
26,2023-03-06,53700
27,2023-03-13,55500
