,price,Индекс стоимости грузоперевозок,Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ,цена,Базовый индекс потребительских цен на товары и услуги,Ключевая ставка,Курс доллара,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие,Цена на бензин,Цена на дт,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",price_diff,price_seasonal_diff,price_lag_1,price_lag_4,price_lag_8,price_lag_12
2021-10-04,56800.0,1248.0,125.669,143.621,1998.190999999384,813.5180000000112,6.401,217.01054,171.1804,6.67483014,2.811709,3966.72,5163.410000000001,4.29616013,580.444,345.532,673.364,100.81,6.75,72.70322,872.0,379.0,251.0,4981.0,508.0,10483.0,646.0,5123.0,2397.0,3290.0,2010.0,433.0,420.0,294.0,429.0,4211.0,1788.0,1266.0,4096.0,119.0,6431.0,2217.0,4542.0,3780.0,334.0,2969.0,512.0,467.0,676.0,182.0,167.0,1639.0,1507.0,107.0,435.0,0.0,23.0,334.0,468.0,3301.0,511.0,2598.0,334.0,468.0,3780.0,511.0,2837.0,100.0,433.0,1777.0,1319.0,107.0,479.0,370.0,48.0,30.0,2.0,6.0,5.0,505.0,341.0,26.0,10.0,0.0,75.0,170.0,20.0,1.0,90.0,196.0,195.0,85.0,49.52,49.3,11800.0,385.0,26784.0,23908.0,25750.0,116.0,550.0,10500.0,152.0,398.0,386.0,470.0,500.0,9500.0,24722.0,91.0,14500.0,28500.0,25050.0,10150.0,478.0,4675.0,10365.0,40000.0,448.0,15600.0,437.5,26496.0,10800.0,435.0,550.0,10930.0,9500.0,535.5,534.0,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,2800.0,-16700.0,54000.0,59000.0,66000.0,
2021-10-11,59000.0,1247.0,124.75925,140.06650000000002,1970.9422499993973,857.4627500000105,6.47345,220.82995225,166.847815,6.72658213725,2.828405,3983.9399999999996,5229.177500000001,4.665526379999999,706.0239999999999,352.5985,700.7,100.82,6.75,72.46686,851.25,361.75,239.75,4921.25,505.5,10423.0,634.25,5077.25,2386.0,3289.25,2036.0,432.25,393.75,274.75,425.25,4221.25,1773.25,1303.0,4042.25,126.75,6370.25,2201.75,4476.5,3753.0,334.25,2929.25,509.0,464.0,680.5,189.25,170.25,1636.5,1548.25,107.75,421.5,0.0,25.25,334.25,465.0,3283.25,508.25,2582.75,334.25,465.0,3753.75,508.25,2809.25,87.25,419.5,1765.25,1369.5,107.75,470.5,345.0,46.5,27.0,1.75,5.25,4.75,513.75,344.25,36.75,8.5,1.75,82.5,164.25,20.0,0.75,71.5,171.25,170.75,70.25,49.540000000000006,49.31,21250.0,397.0,26523.0,24028.0,25604.0,119.0,557.5,19000.0,158.0,410.0,402.0,485.0,508.0,16350.0,24681.0,94.0,26000.0,40500.0,24896.0,17500.0,500.0,3585.0,7650.0,38500.0,449.0,13300.0,452.5,26474.0,21250.0,449.0,557.5,19510.0,17000.0,532.5,557.5,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,2200.0,-13500.0,56800.0,56500.0,65000.0,
2021-10-18,64000.0,1236.0,123.8495,136.512,1943.6934999994105,901.4075000000098,6.5459,224.6493645,162.51523,6.7783341345,2.845101,4001.16,5294.945,5.03489263,831.6039999999999,359.66499999999996,711.6,100.83,6.75,71.67936,830.5,344.5,228.5,4861.5,503.0,10363.0,622.5,5031.5,2375.0,3288.5,2062.0,431.5,367.5,255.5,421.5,4231.5,1758.5,1340.0,3988.5,134.5,6309.5,2186.5,4411.0,3726.0,334.5,2889.5,506.0,461.0,685.0,196.5,173.5,1634.0,1589.5,108.5,408.0,0.0,27.5,334.5,462.0,3265.5,505.5,2567.5,334.5,462.0,3727.5,505.5,2781.5,74.5,406.0,1753.5,1420.0,108.5,462.0,320.0,45.0,24.0,1.5,4.5,4.5,522.5,347.5,47.5,7.0,3.5,90.0,158.5,20.0,0.5,53.0,146.5,146.5,55.5,49.56,49.32,21250.0,427.0,26086.0,24275.0,25157.0,128.0,562.5,19000.0,180.0,436.0,432.0,500.0,528.0,16350.0,24534.0,114.5,26000.0,40500.0,24515.0,17500.0,515.0,3585.0,7650.0,38500.0,455.0,13300.0,473.5,26537.0,21250.0,480.0,567.5,19510.0,17000.0,545.0,565.0,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,5000.0,-7500.0,59000.0,55000.0,63500.0,71500.0
2021-10-25,73000.0,1246.0,122.93975,132.95749999999998,1916.4447499994237,945.3522500000091,6.61835,228.46877675,158.182645,6.83008613175,2.861797,4018.38,5360.7125,5.40425888,957.184,366.7315,717.0,100.84,6.9,71.0094,809.75,327.25,217.25,4801.75,500.5,10303.0,610.75,4985.75,2364.0,3287.75,2088.0,430.75,341.25,236.25,417.75,4241.75,1743.75,1377.0,3934.75,142.25,6248.75,2171.25,4345.5,3699.0,334.75,2849.75,503.0,458.0,689.5,203.75,176.75,1631.5,1630.75,109.25,394.5,0.0,29.75,334.75,459.0,3247.75,502.75,2552.25,334.75,459.0,3701.25,502.75,2753.75,61.75,392.5,1741.75,1470.5,109.25,453.5,295.0,43.5,21.0,1.25,3.75,4.25,531.25,350.75,58.25,5.5,5.25,97.5,152.75,20.0,0.25,34.5,121.75,122.25,40.75,49.58,49.33,21250.0,448.0,26593.0,24629.0,25936.0,122.0,577.5,19000.0,179.0,450.0,451.0,510.0,544.0,16350.0,25363.0,109.5,26000.0,40500.0,25359.0,17500.0,540.0,3585.0,7650.0,38500.0,455.0,13300.0,493.5,27467.0,21250.0,500.0,567.5,19510.0,17000.0,555.0,577.5,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,9000.0,3500.0,64000.0,54000.0,62000.0,69500.0
2021-11-01,77000.0,1243.0,122.03,129.403,1889.195999999437,989.2970000000084,6.6908,232.288189,153.85006,6.881838129,2.878493,4035.6,5426.48,5.77362513,1082.764,373.798,712.3399999999999,100.85,7.5,70.10764,789.0,310.0,206.0,4742.0,498.0,10243.0,599.0,4940.0,2353.0,3287.0,2114.0,430.0,315.0,217.0,414.0,4252.0,1729.0,1414.0,3881.0,150.0,6188.0,2156.0,4280.0,3672.0,335.0,2810.0,500.0,455.0,694.0,211.0,180.0,1629.0,1672.0,110.0,381.0,0.0,32.0,335.0,456.0,3230.0,500.0,2537.0,335.0,456.0,3675.0,500.0,2726.0,49.0,379.0,1730.0,1521.0,110.0,445.0,270.0,42.0,18.0,1.0,3.0,4.0,540.0,354.0,69.0,4.0,7.0,105.0,147.0,20.0,0.0,16.0,97.0,98.0,26.0,49.6,49.34,21250.0,446.0,27708.0,24737.0,27341.0,116.0,577.5,19000.0,177.0,450.0,450.0,515.0,550.0,16350.0,26648.0,103.5,26000.0,40500.0,26592.0,17500.0,545.0,3585.0,7650.0,38500.0,456.0,13300.0,493.5,28334.0,21250.0,501.0,552.5,19510.0,17000.0,572.5,580.0,12987.0,7857.0,3460.0,68.0,119.0,207.0,105.0,149.0,4000.0,11000.0,73000.0,56800.0,59000.0,66000.0
2021-11-08,79000.0,1268.0,119.9508,127.6394,1880.2635999994532,977.0664000000074,6.681900000000001,227.82582839999998,151.486558,6.8615392704,2.85733,4047.996,5405.911999999999,5.8076595300000005,1089.3557999999998,375.04,733.1,100.908,7.5,71.35073333333334,789.6,311.2,214.0,4728.2,490.6,10176.0,608.2,4914.2,2339.2,3324.8,2110.8,431.6,306.8,231.0,417.4,4259.8,1682.0,1471.4,3871.8,143.4,6156.0,2140.0,4280.4,3646.6,332.8,2780.0,502.8,455.8,683.4,208.6,175.6,1606.6,1651.0,110.0,381.6,0.0,30.2,332.8,456.6,3200.2,502.6,2506.6,332.8,456.6,3648.4,502.6,2697.8,46.6,379.4,1708.8,1500.4,110.0,448.2,270.8,42.8,19.4,1.0,3.4,6.4,521.8,320.0,63.0,4.0,6.4,107.0,138.4,20.0,1.4,17.8,108.0,101.6,38.2,49.664,49.424,22750.0,441.0,28831.0,24893.0,28389.0,98.0,580.0,19000.0,161.0,453.0,446.0,510.0,541.0,16350.0,27498.0,85.5,26000.0,42500.0,27446.0,17500.0,530.0,3140.0,6125.0,39250.0,459.0,10550.0,492.5,28778.0,21250.0,497.0,542.5,19630.0,17000.0,565.0,577.5,12987.0,7857.0,3460.0,68.0,119.0,207.0,105.0,149.0,2000.0,14000.0,77000.0,59000.0,56500.0,65000.0
2021-11-15,78000.0,1235.0,117.8716,125.8758,1871.3311999994694,964.8358000000065,6.673,223.3634678,149.123056,6.8412404118,2.836167,4060.392,5385.344,5.84169393,1095.9476,376.282,719.8,100.966,7.5,71.27745999999999,790.2,312.4,222.0,4714.4,483.2,10109.0,617.4,4888.4,2325.4,3362.6,2107.6,433.2,298.6,245.0,420.8,4267.6,1635.0,1528.8,3862.6,136.8,6124.0,2124.0,4280.8,3621.2,330.6,2750.0,505.6,456.6,672.8,206.2,171.2,1584.2,1630.0,110.0,382.2,0.0,28.4,330.6,457.2,3170.4,505.2,2476.2,330.6,457.2,3621.8,505.2,2669.6,44.2,379.8,1687.6,1479.8,110.0,451.4,271.6,43.6,20.8,1.0,3.8,8.8,503.6,286.0,57.0,4.0,5.8,109.0,129.8,20.0,2.8,19.6,119.0,105.2,50.4,49.728,49.508,22750.0,445.0,29339.0,25638.0,28841.0,92.0,580.0,19000.0,154.0,456.0,446.0,510.0,528.0,16350.0,28006.0,82.5,26000.0,42500.0,28100.0,17500.0,545.0,3140.0,6125.0,39250.0,438.0,10550.0,497.5,29351.0,21250.0,499.0,542.5,19630.0,17000.0,565.0,582.5,12987.0,7857.0,3460.0,68.0,119.0,207.0,105.0,149.0,-1000.0,14500.0,79000.0,64000.0,55000.0,63500.0
2021-11-22,72500.0,1244.0,115.7924,124.11219999999999,1862.3987999994856,952.6052000000055,6.6641,218.90110719999998,146.759554,6.8209415532,2.815004,4072.788,5364.776,5.87572833,1102.5394,377.524,719.2,101.024,7.5,72.60288,790.8,313.6,230.0,4700.6,475.8,10042.0,626.6,4862.6,2311.6,3400.4,2104.4,434.8,290.4,259.0,424.2,4275.4,1588.0,1586.2,3853.4,130.2,6092.0,2108.0,4281.2,3595.8,328.4,2720.0,508.4,457.4,662.2,203.8,166.8,1561.8,1609.0,110.0,382.8,0.0,26.6,328.4,457.8,3140.6,507.8,2445.8,328.4,457.8,3595.2,507.8,2641.4,41.8,380.2,1666.4,1459.2,110.0,454.6,272.4,44.4,22.2,1.0,4.2,11.2,485.4,252.0,51.0,4.0,5.2,111.0,121.2,20.0,4.199999999999999,21.4,130.0,108.8,62.599999999999994,49.792,49.592,22750.0,443.0,30104.0,25790.0,29662.0,90.0,579.0,19000.0,148.0,458.0,444.0,515.0,528.0,16350.0,28584.0,80.5,26000.0,42500.0,29015.0,17500.0,540.0,3140.0,6125.0,39250.0,392.0,10550.0,497.5,30195.0,21250.0,498.0,515.0,19630.0,17000.0,565.0,582.5,12987.0,7857.0,3460.0,68.0,119.0,207.0,105.0,149.0,-5500.0,10500.0,78000.0,73000.0,54000.0,62000.0
2021-11-29,64000.0,1261.0,113.7132,122.34859999999999,1853.4663999995018,940.3746000000046,6.6552,214.4387466,144.396052,6.8006426946000005,2.793841,4085.1839999999997,5344.2080000000005,5.90976273,1109.1312,378.76599999999996,727.8,101.082,7.5,74.56872,791.4,314.8,238.0,4686.8,468.4,9975.0,635.8,4836.8,2297.8,3438.2,2101.2,436.4,282.2,273.0,427.6,4283.2,1541.0,1643.6,3844.2,123.6,6060.0,2092.0,4281.6,3570.4,326.2,2690.0,511.2,458.2,651.6,201.4,162.4,1539.4,1588.0,110.0,383.4,0.0,24.8,326.2,458.4,3110.8,510.4,2415.4,326.2,458.4,3568.6,510.4,2613.2,39.4,380.6,1645.2,1438.6,110.0,457.8,273.2,45.2,23.6,1.0,4.6,13.6,467.2,218.0,45.0,4.0,4.6,113.0,112.6,20.0,5.6,23.2,141.0,112.4,74.8,49.856,49.676,22750.0,438.0,30914.0,26133.0,30376.0,99.0,572.5,19000.0,146.0,453.0,438.0,510.0,530.0,16350.0,29414.0,89.5,26000.0,42500.0,29906.0,17500.0,520.0,3140.0,6125.0,39250.0,346.0,10550.0,492.5,30842.0,21250.0,492.0,505.0,19630.0,17000.0,555.0,571.5,10753.0,6282.0,3088.0,63.0,96.0,172.0,85.0,137.0,-8500.0,5000.0,72500.0,77000.0,56800.0,59000.0
2021-12-06,61500.0,1279.0,111.634,120.585,1844.533999999518,928.1440000000036,6.6463,209.976386,142.03255,6.780343836,2.772678,4097.58,5323.64,5.94379713,1115.723,380.008,702.15,101.14,7.5,74.33106000000001,792.0,316.0,246.0,4673.0,461.0,9908.0,645.0,4811.0,2284.0,3476.0,2098.0,438.0,274.0,287.0,431.0,4291.0,1494.0,1701.0,3835.0,117.0,6028.0,2076.0,4282.0,3545.0,324.0,2660.0,514.0,459.0,641.0,199.0,158.0,1517.0,1567.0,110.0,384.0,0.0,23.0,324.0,459.0,3081.0,513.0,2385.0,324.0,459.0,3542.0,513.0,2585.0,37.0,381.0,1624.0,1418.0,110.0,461.0,274.0,46.0,25.0,1.0,5.0,16.0,449.0,184.0,39.0,4.0,4.0,115.0,104.0,20.0,7.0,25.0,152.0,116.0,87.0,49.92,49.76,20250.0,430.0,31202.0,26178.0,30713.0,100.0,572.5,17000.0,143.0,445.0,428.0,510.0,530.0,15500.0,29724.0,89.5,23500.0,42500.0,30184.0,16500.0,525.0,2665.0,5525.0,39250.0,326.0,8950.0,482.5,31083.0,19500.0,484.0,500.0,18050.0,15250.0,547.5,560.0,10753.0,6282.0,3088.0,63.0,96.0,172.0,85.0,137.0,-2500.0,5000.0,64000.0,79000.0,59000.0,56500.0
2021-12-13,60500.0,1290.0,107.97825,118.5655,1805.8687499995353,893.3947500000033,6.53335,202.14738125,139.58434999999997,6.68186303125,2.6992635,4116.3525,5342.087500000001,5.9493411300000005,1109.4479999999999,375.29774999999995,704.2,101.0125,7.5,73.77206,815.0,320.0,240.0,4766.25,472.75,9993.25,648.5,4915.25,2305.75,3621.0,2139.0,461.25,304.25,290.0,432.5,4476.25,1549.25,1715.25,3951.0,130.75,6151.5,2069.5,4374.0,3529.0,330.0,2748.75,480.25,460.25,664.0,213.75,163.0,1557.0,1529.5,120.25,400.5,0.0,28.25,330.25,460.25,3065.75,479.5,2486.5,330.25,460.25,3527.0,479.5,2683.5,39.0,397.75,1664.0,1380.75,120.25,461.25,261.25,43.25,22.5,1.0,4.75,17.0,466.5,196.75,36.75,3.5,3.0,120.25,113.0,20.0,5.25,27.75,152.0,105.0,77.25,50.005,50.08,20250.0,417.0,30750.0,26031.0,30050.0,105.0,557.5,17000.0,152.0,431.0,415.0,510.0,528.0,15500.0,28958.0,94.5,23500.0,42500.0,29578.0,16500.0,515.0,2665.0,5525.0,39250.0,337.0,8950.0,467.5,30275.0,19500.0,471.0,495.0,18050.0,15250.0,557.0,545.0,10753.0,6282.0,3088.0,63.0,96.0,172.0,85.0,137.0,-1000.0,5500.0,61500.0,78000.0,64000.0,55000.0
2021-12-20,61500.0,1312.0,104.32249999999999,116.54599999999999,1767.2034999995526,858.645500000003,6.4204,194.3183765,137.13615,6.5833822265,2.6258489999999997,4135.125,5360.535,5.95488513,1103.173,370.5875,694.5,100.88499999999999,7.7,73.60706,838.0,324.0,234.0,4859.5,484.5,10078.5,652.0,5019.5,2327.5,3766.0,2180.0,484.5,334.5,293.0,434.0,4661.5,1604.5,1729.5,4067.0,144.5,6275.0,2063.0,4466.0,3513.0,336.0,2837.5,446.5,461.5,687.0,228.5,168.0,1597.0,1492.0,130.5,417.0,0.0,33.5,336.5,461.5,3050.5,446.0,2588.0,336.5,461.5,3512.0,446.0,2782.0,41.0,414.5,1704.0,1343.5,130.5,461.5,248.5,40.5,20.0,1.0,4.5,18.0,484.0,209.5,34.5,3.0,2.0,125.5,122.0,20.0,3.5,30.5,152.0,94.0,67.5,50.09,50.4,20250.0,414.0,29870.0,25299.0,29447.0,112.0,552.5,17000.0,159.0,425.0,410.0,505.0,520.0,15500.0,28299.0,101.5,23500.0,42500.0,28862.0,16500.0,510.0,2665.0,5525.0,39250.0,338.0,8950.0,467.5,29555.0,19500.0,467.0,505.0,18050.0,15250.0,550.0,535.0,10753.0,6282.0,3088.0,63.0,96.0,172.0,85.0,137.0,1000.0,7500.0,60500.0,72500.0,73000.0,54000.0
2021-12-27,62500.0,1319.0,100.66675,114.5265,1728.5382499995696,823.8962500000029,6.307449999999999,186.48937175,134.68795,6.484901421750001,2.5524345,4153.8975,5378.9825,5.96042913,1096.8980000000001,365.87725,696.125,100.7575,8.5,73.69046,861.0,328.0,228.0,4952.75,496.25,10163.75,655.5,5123.75,2349.25,3911.0,2221.0,507.75,364.75,296.0,435.5,4846.75,1659.75,1743.75,4183.0,158.25,6398.5,2056.5,4558.0,3497.0,342.0,2926.25,412.75,462.75,710.0,243.25,173.0,1637.0,1454.5,140.75,433.5,0.0,38.75,342.75,462.75,3035.25,412.5,2689.5,342.75,462.75,3497.0,412.5,2880.5,43.0,431.25,1744.0,1306.25,140.75,461.75,235.75,37.75,17.5,1.0,4.25,19.0,501.5,222.25,32.25,2.5,1.0,130.75,131.0,20.0,1.75,33.25,152.0,83.0,57.75,50.175,50.72,20250.0,416.0,29631.0,24741.0,28941.0,124.0,547.5,17000.0,173.0,422.0,413.0,505.0,512.0,15500.0,27848.0,0.0,23500.0,42500.0,28419.0,16500.0,510.0,2665.0,5525.0,39250.0,341.0,8950.0,462.5,29024.0,19500.0,461.0,505.0,18050.0,15250.0,550.0,535.0,9244.0,5901.0,2687.0,55.0,88.0,148.0,106.0,151.5,1000.0,5700.0,61500.0,64000.0,77000.0,56800.0
2022-01-03,63500.0,1419.0,97.011,112.507,1689.872999999587,789.1470000000025,6.1945,178.660367,132.23975,6.386420617000001,2.47902,4172.67,5397.43,5.96597313,1090.623,361.167,698.62,100.63,8.5,73.6682,884.0,332.0,222.0,5046.0,508.0,10249.0,659.0,5228.0,2371.0,4056.0,2262.0,531.0,395.0,299.0,437.0,5032.0,1715.0,1758.0,4299.0,172.0,6522.0,2050.0,4650.0,3481.0,348.0,3015.0,379.0,464.0,733.0,258.0,178.0,1677.0,1417.0,151.0,450.0,0.0,44.0,349.0,464.0,3020.0,379.0,2791.0,349.0,464.0,3482.0,379.0,2979.0,45.0,448.0,1784.0,1269.0,151.0,462.0,223.0,35.0,15.0,1.0,4.0,20.0,519.0,235.0,30.0,2.0,0.0,136.0,140.0,20.0,0.0,36.0,152.0,72.0,48.0,50.26,51.04,20250.0,418.0,29121.0,24326.0,28566.0,118.0,547.5,17000.0,168.5,424.0,415.0,505.0,500.0,15500.0,27215.0,107.0,23500.0,42500.0,27969.0,16500.0,510.0,2665.0,5525.0,39250.0,346.0,8950.0,462.5,28407.0,19500.0,463.0,505.0,18050.0,15250.0,545.0,535.0,9244.0,5901.0,2687.0,55.0,88.0,148.0,106.0,151.5,1000.0,4500.0,62500.0,61500.0,79000.0,59000.0
2022-01-10,63500.0,1422.0,99.21225,110.06425,1711.9227499995836,741.9242500000014,6.1483,184.46018750000002,129.13456,6.298975627500001,2.4538469999999997,4187.29,5418.0825,5.87667138,1089.3185,354.50325,704.7,100.6775,8.5,74.31711,876.25,327.0,228.75,4961.75,505.0,10218.0,646.0,5145.25,2338.75,4127.25,2203.25,534.25,389.75,296.25,461.75,5092.5,1701.75,1694.0,4269.25,158.75,6499.0,2069.75,4623.75,3465.75,346.0,3039.0,427.75,464.75,732.0,260.0,186.0,1708.5,1397.5,139.25,462.5,0.0,44.25,346.75,465.0,3008.25,427.75,2808.25,346.75,465.0,3466.0,427.75,2996.25,47.0,460.25,1811.0,1251.75,139.25,457.75,230.5,34.5,25.0,4.5,4.75,19.0,513.5,234.25,25.75,1.5,0.75,124.0,145.25,18.75,0.0,27.0,145.25,65.5,45.75,50.3625,51.31,20250.0,419.0,28826.0,24255.0,28615.0,125.0,540.0,17000.0,170.5,425.0,416.0,495.0,500.0,15500.0,26977.0,114.5,23500.0,42500.0,27830.0,16500.0,500.0,2825.0,6575.0,39000.0,353.0,9900.0,462.5,28802.0,19500.0,465.0,535.0,18050.0,15250.0,535.0,530.0,9244.0,5901.0,2687.0,55.0,88.0,148.0,106.0,151.5,0.0,-500.0,63500.0,60500.0,78000.0,64000.0
2022-01-17,63700.0,1296.0,101.4135,107.6215,1733.9724999995806,694.7015000000004,6.1021,190.260008,126.02937,6.211530638000001,2.428674,4201.91,5438.735000000001,5.787369630000001,1088.0140000000001,347.8395,702.6,100.725,8.5,74.96602,868.5,322.0,235.5,4877.5,502.0,10187.0,633.0,5062.5,2306.5,4198.5,2144.5,537.5,384.5,293.5,486.5,5153.0,1688.5,1630.0,4239.5,145.5,6476.0,2089.5,4597.5,3450.5,344.0,3063.0,476.5,465.5,731.0,262.0,194.0,1740.0,1378.0,127.5,475.0,0.0,44.5,344.5,466.0,2996.5,476.5,2825.5,344.5,466.0,3450.0,476.5,3013.5,49.0,472.5,1838.0,1234.5,127.5,453.5,238.0,34.0,35.0,8.0,5.5,18.0,508.0,233.5,21.5,1.0,1.5,112.0,150.5,17.5,0.0,18.0,138.5,59.0,43.5,50.465,51.58,20250.0,430.0,29086.0,25878.0,28751.0,128.0,547.5,17000.0,176.5,440.0,425.0,500.0,510.0,15500.0,27257.0,117.5,23500.0,42500.0,27934.0,16500.0,515.0,2825.0,6575.0,39000.0,388.0,9900.0,467.5,28622.0,19500.0,471.0,542.5,18050.0,15250.0,535.0,537.5,9244.0,5901.0,2687.0,55.0,88.0,148.0,106.0,151.5,200.0,-9300.0,63500.0,61500.0,72500.0,73000.0
